代码		名称    		涨幅%		现价		涨跌		涨速%		DDE净量		总手		换手%		量比		所属行业		现手		开盘		昨收		最高		最低		买价		卖价		市盈(动)		市净率		买量		卖量		委比%		振幅%		金额		均笔额		笔数		手/笔		外盘		内盘		总市值		流通市值		贡献度		
SH600283	钱江水利	+0.36		13.87		+0.05		+0.14		0.01		1449896		0.411		0.43		燃气水务	9400↓		13.88		13.82		13.95		13.77		13.85		13.87		41.38		2.64		127300		1600		+76.76		1.30		20,050,090	16977.21	1181		1228		601319		848577		4896051191	4896051191	--		
SH600285	羚锐制药	+3.83		9.75		+0.36		--		-0.02		7650511		1.43		1.68		中药		500--		9.45		9.39		9.89		9.36		9.74		9.75		19.42		2.61		30200		13400		-14.20		5.64		73,588,734	17822.41	4129		1853		3968699		3681812		5775128190	5220487448	--		
SH600288	大恒科技	-10.00		9.36		-1.04		--		-1.32		33088100	7.58		1.65		其他电子	3800--		10.08		10.40		10.18		9.36		--		9.36		109.7		2.65		0		1276301		-100.00		7.88		319,467,540	16132.28	19803		1671		14178402	18909698	4088448000	4088448000	--		
SH600298	安琪酵母	+2.35		34.81		+0.80		--		-0.07		6921733		0.840		0.75		农产品加工	100--		34.33		34.01		35.12		34.11		34.81		34.85		25.86		7.04		100		5		-67.49		2.97		240,641,180	23138.58	10400		666		4235822		2685911		28686257521	28686257521	--		
SH600299	安迪苏		+5.54		13.53		+0.71		--		0.26		4640995		0.808		3.09		生物制品	1600--		13.00		12.82		13.56		12.86		13.53		13.54		25.79		2.70		26874		1500		-38.29		5.46		61,460,072	23096.61	2661		1744		2686830		1954165		36286124589	7773788817	--		
SH600305	恒顺醋业	+0.38		10.51		+0.04		--		-0.00		2732504		0.453		0.52		食品加工制造	24000--		10.50		10.47		10.53		10.37		10.51		10.52		26.72		3.41		4800		14000		-6.04		1.53		28,556,968	11694.09	2442		1119		1169688		1562816		6334776380	6334776380	--		
SH600315	上海家化	+3.97		40.64		+1.55		--		0.01		5434724		0.810		1.23		化学制品	1000--		39.75		39.09		40.79		39.07		40.61		40.63		45.29		4.87		500		200		+74.46		4.40		217,852,090	25106.84	8677		626		2426718		3008006		27298438672	27279537414	--		
SH600322	天房发展	-2.14		5.94		-0.13		--		-0.08		7098674		0.642		1.19		房地产开发	45200--		6.19		6.07		6.19		5.88		6.00		6.01		21.94		1.47		4800		2500		+7.05		5.11		42,683,085	23647.14	1805		3933		2564229		4534445		6567858000	6567858000	--		
SH600323	瀚蓝环境	+4.43		15.10		+0.64		--		-0.04		14539193	1.90		2.16		环保工程	100--		14.84		14.46		15.17		14.79		15.12		15.13		9.39		2.14		5076		22000		-53.45		2.63		218,495,450	18638.19	11723		1240		8104830		6434363		11570586702	11570586702	--		
SH600327	大东方		+1.62		6.92		+0.11		--		0.02		1829488		0.323		0.98		零售		1900--		6.82		6.81		6.92		6.77		6.91		6.92		15.02		--		26400		4560		+3.82		2.20		12,535,435	10769.27	1164		1572		1078616		750872		3924791211	3924791211	--		
SH600329	中新药业	+2.23		15.12		+0.33		--		-0.09		8360881		1.48		3.36		中药		100--		14.84		14.79		15.28		14.76		15.13		15.14		16.76		2.51		3900		64200		-56.44		3.52		125,897,444	22211.97	5668		1475		4633475		3727406		11625360970	8554413370	--		
SH600330	天通股份	-3.49		9.39		-0.34		--		-0.22		18060455	2.17		0.70		新材料		5400--		9.84		9.73		9.85		9.35		9.39		9.40		23.75		2.03		5100		71200		-33.52		5.14		171,820,190	16594.57	10354		1744		7997676		10062779	7798126822	7798126822	--		
SH600332	白云山		+9.99		35.23		+3.20		--		0.68		35782356	3.34		1.96		中药		1300--		35.20		32.03		35.23		34.17		35.23		--		15.82		2.90		250059		0		+100.00		3.31		1,254,284,270	41500.99	30223		1184		16060634	19721722	57276613407	37737644978	--		
SH600345	长江通信	+2.74		27.35		+0.73		--		0.08		6720569		3.39		1.23		通信设备	600--		27.50		26.62		28.79		27.00		27.34		27.35		21.41		3.34		400		5300		-21.31		6.72		187,232,170	17841.83	10494		640		3423081		3297488		5415300000	5415300000	--		
SH600358	国旅联合	-1.74		6.76		-0.12		--		0.02		10166801	2.35		1.32		传媒		1400--		6.86		6.88		6.89		6.50		6.77		6.78		614.4		6.51		25100		69100		-7.06		5.67		67,994,067	18471.63	3681		2762		4409606		5757195		3413371822	2920320000	--		
